"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint",1.5200001507246,0.800987276240301,1.6499970322942,1.27569784788709,0.328947368421053,0.697368421052632,608
"MOBS-EpyStrain_Flu",1.08037143528203,0.769717463389557,1.58663881776994,1.64424707850385,0.228070175438596,0.842105263157895,912
"NAU-Copycat",1.09171646804311,3.39986545045236,1.20746111301841,5.12404312312397,0.158943965517241,0.450969827586207,2616
"NAU-INFLAenza",0.703633514925042,1.84113331765861,0.899592301194609,3.31748144899073,0.239906832298137,0.71972049689441,2048
"UMass-SAR",0.883457472018571,2.28303660784166,1.09557144028697,3.98088193683657,0.220458553791887,0.597883597883598,1804
"UMass-alloy",0.465870803015556,1.15491853048697,0.627032094006506,2.2920121056941,0.405456852791878,0.963832487309645,2336
"UT-GBQR",0.546520762685969,1.53101659345805,0.672362126329231,2.59097560944459,0.333613445378151,0.769327731092437,3140
"VTSanghani-PRIME",0.619945297630236,1.53347877850917,0.743183237916492,2.70260114905746,0.8,0.880666666666667,2032
"epiENGAGE-GBQR",0.720011418945926,2.02604873042701,0.915779886387659,3.17354803483643,0.352325581395349,0.674418604651163,860
"epiENGAGE-baseline",1,2.90493400605751,1,3.86911211129296,0.0450081833060556,0.445581014729951,3204
"epiENGAGE-ensemble_mean",0.634908167216179,1.79380610125661,0.842606605494621,3.17963025698236,0.283142389525368,0.715630114566285,3204
"epiENGAGE-lop_norm",0.590956615548757,1.64998405404179,0.864414395456418,3.31067787383807,0.310147299509002,0.853518821603928,3204
"epiforecasts-dyngam",0.636007529013239,1.71891474973701,0.876522266411272,3.24874556963087,0.263422818791946,0.76510067114094,3144
