"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint","athens",0.281193782493887,0.0684004212513877,0.149625644155218,0.0661345347166062,0.9,1,20
"ACCIDDA-InfluPaint","austin",0.404536133918159,0.0632201311528786,0.272189592866048,0.0794793611168861,1,1,20
"ACCIDDA-InfluPaint","baltimore",0.446276670650257,0.0984258363820199,0.398153454711638,0.16523368370533,0.6,1,20
"ACCIDDA-InfluPaint","bangor",0.768243353001532,0.249170123484193,0.739729526583078,0.512632561922073,0.3,0.9,20
"ACCIDDA-InfluPaint","beaumont",0.953199598860598,0.19159448420841,1.24374324043724,0.374366715371609,0.5,0.9,20
"ACCIDDA-InfluPaint","boston",1.19130418932052,0.249828641035491,1.43552864264978,0.590002272129059,0.1,1,20
"ACCIDDA-InfluPaint","boulder",0.664024719905077,0.336119877857467,0.583061805824696,0.630872873902321,0.4,0.8,20
"ACCIDDA-InfluPaint","charleston",0.353246749105823,0.0722875349105905,0.432826852190842,0.178324663102627,0.3,1,20
"ACCIDDA-InfluPaint","cherokee",0.402490348028182,0.117781107495707,0.384103200460474,0.184369536221027,0.9,1,20
"ACCIDDA-InfluPaint","clt-area",0.656488949733653,0.15449056302011,0.63088849659302,0.322384021759033,0.8,1,20
"ACCIDDA-InfluPaint","colorado",0.377074213619529,0.119589842801241,0.196947228178686,0.144756212711334,0.9,1,20
"ACCIDDA-InfluPaint","colorado-springs",0.398435627671538,0.133188138260868,0.343370388791217,0.264051828980446,0.7,1,20
"ACCIDDA-InfluPaint","columbia",0.605608798596985,0.129748807767199,0.934196867980063,0.29894299775362,0.2,1,20
"ACCIDDA-InfluPaint","columbus",0.578212655719027,0.131232379097078,0.56351622422376,0.279504047214985,0.5,1,20
"ACCIDDA-InfluPaint","dallas",0.700936955619934,0.136607091631637,0.877644915929001,0.312441590070724,0.3,1,20
"ACCIDDA-InfluPaint","denver",0.473195456542615,0.144060863829321,0.26169856100775,0.187376169681549,0.9,1,20
"ACCIDDA-InfluPaint","deschutes",0.435557368792153,0.152206574540068,0.377866986584923,0.312495997905731,0.5,1,20
"ACCIDDA-InfluPaint","duluth",0.421908763649512,0.192771347318259,0.346768415687627,0.359252078652382,0.6,0.9,20
"ACCIDDA-InfluPaint","el-paso",1.50329216372759,0.346524431345726,2.4015180804628,0.902970798254013,0.1,0.9,20
"ACCIDDA-InfluPaint","eugene",0.473786181850843,0.0694284304679475,0.439169512238613,0.132190023183823,0.6,1,20
"ACCIDDA-InfluPaint","fay-area",0.994391472968942,0.261174623520114,1.24787371882137,0.68258692419529,0.1,1,20
"ACCIDDA-InfluPaint","florence",0.408427399436667,0.0887279018656506,0.572959474169168,0.170741923302412,0.5,0.9,20
"ACCIDDA-InfluPaint","floyd",0.745558892007565,0.248217664184514,0.720464816854044,0.469743060588837,0.5,1,20
"ACCIDDA-InfluPaint","frederick",0.491015025295368,0.234304790221051,0.523161162508697,0.514790583908558,0.4,1,20
"ACCIDDA-InfluPaint","georgia",0.914066956330686,0.150617278012809,1.07365319105125,0.346789980709553,0.5,1,20
"ACCIDDA-InfluPaint","greenville",0.208424508713735,0.0583185801323529,0.176831358366392,0.0933669572174549,1,1,20
"ACCIDDA-InfluPaint","hall",0.75215805544038,0.16563396110365,0.890140929415419,0.329352143883705,0.3,0.9,20
"ACCIDDA-InfluPaint","harford",0.409808772492442,0.0740791322137747,0.503594854268534,0.146042507737875,0.7,1,20
"ACCIDDA-InfluPaint","henry",0.780321969742002,0.142143510109745,0.871652416656354,0.284158687829971,0.5,0.9,20
