"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"epiENGAGE-Copycat",2025-03-08,0.441481481481481,0.713333333333333,0.8,1,25
"epiENGAGE-Copycat",2025-03-15,0.439777777777778,0.817,0.8,1,25
"epiENGAGE-Copycat",2025-03-22,0.372,0.736,0.6,1,25
"epiENGAGE-GBQR",2025-03-15,0.415458464686889,0.680547607635799,0,0.466666666666667,25
"epiENGAGE-GBQR",2025-03-08,0.36739712266434,0.519286894562235,0.15,0.5,25
"epiENGAGE-GBQR",2025-03-22,0.104284003416879,0.24118122817341,0.1,1,25
"epiENGAGE-GBQR",2025-03-29,0.0689783860413122,0.15122491453304,0.4,1,25
"epiENGAGE-INFLAenza",2025-03-08,0.282470439669985,0.517160480016352,0.65,1,20
"epiENGAGE-INFLAenza",2025-03-15,0.303397355868899,0.686633288027717,0.4,1,20
"epiENGAGE-INFLAenza",2025-03-22,0.203062608053478,0.437728115706287,0.3,1,20
"epiENGAGE-INFLAenza",2025-03-29,0.144495948576939,0.313266045637596,0.6,1,20
"epiENGAGE-baseline",2025-03-08,0.52760716862696,1.249,0.25,1,25
"epiENGAGE-baseline",2025-03-15,0.740505273514255,1.64733333333333,0,1,25
"epiENGAGE-baseline",2025-03-22,0.374836764125236,0.877,0,1,25
"epiENGAGE-baseline",2025-03-29,0.247669444444444,0.522,0,1,25
"epiENGAGE-ensemble_mean",2025-03-08,0.262798871107474,0.514604025647416,0.35,0.9,25
"epiENGAGE-ensemble_mean",2025-03-15,0.31972419994266,0.683590447831759,0.133333333333333,0.933333333333333,25
"epiENGAGE-ensemble_mean",2025-03-29,0.139902499790914,0.30728464651478,0.2,1,30
"epiENGAGE-ensemble_mean",2025-03-22,0.175712639273494,0.367587609882449,0.5,1,30
"epiENGAGE-lop_norm",2025-03-08,0.265525732304443,0.514510643866744,0.25,1,25
"epiENGAGE-lop_norm",2025-03-15,0.315578588716039,0.694256402563599,0.0666666666666667,1,25
"epiENGAGE-lop_norm",2025-03-22,0.177236971393136,0.298220162803245,0.3,1,30
"epiENGAGE-lop_norm",2025-03-29,0.134046156619916,0.28240417663826,0.4,1,30
"epiforecasts-dyngam",2025-03-15,0.254024578712963,0.546408,0.4,1,30
"epiforecasts-dyngam",2025-03-08,0.242484687756944,0.39925125,0.7,1,30
"epiforecasts-dyngam",2025-03-22,0.174597445,0.353359,0.5,1,30
"epiforecasts-dyngam",2025-03-29,0.129713309388889,0.288993,0.6,1,30
