"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"ACCIDDA-InfluPaint","nyc",5.98359528551982,1.56397012223138,7.78939204651885,2.51348458814621,0.3,0.4,20
"NAU-Copycat","nyc",1.10571143948518,2.43012961706344,1.77636213093006,5.63229179735522,0.1875,1,16
"NAU-INFLAenza","nyc",0.949417952610534,1.03923956554844,1.16883673645235,1.90923848700099,0.307692307692308,0.692307692307692,36
"UMass-alloy","nyc",0.830275599226263,1.26933613507181,1.1049569503998,2.6183245165888,0.5,0.941176470588235,44
"UT-GBQR","nyc",0.571467055337432,1.18800542304471,0.712304470513282,1.82195918222717,0.22,0.52,60
"VTSanghani-PRIME","nyc",0.60392707806817,0.948485448396488,0.965526788890142,2.20653095828248,0.8,1,36
"epiENGAGE-GBQR","nyc",0.926486839210952,2.1093870532743,1.08680220125942,2.67640716604679,0.125,0.125,16
"epiENGAGE-baseline","nyc",1,1.99799340056723,1,2.646,0.16,0.46,60
"epiENGAGE-ensemble_mean","nyc",0.718823759420951,1.37485647606516,0.958072073604519,2.36429335813442,0.3,0.64,60
"epiENGAGE-lop_norm","nyc",0.688433619514631,1.30174387727805,0.896232354985621,2.35745387288341,0.28,0.8,60
"epiforecasts-dyngam","nyc",0.822837794195764,1.59940435130556,0.964929041221008,2.4128044,0.18,0.42,60
