"model_id","target_end_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"NAU-Copycat",2026-01-03,0.450154201582217,1.01934918091618,0.989916964517688,2.73217082206882,0,1,1
"NAU-Copycat",2026-01-10,0.379349605322534,1.68705061875765,0.847298446788317,4.51733866166828,0,1,1
"NAU-Copycat",2026-01-17,0.361183992911159,1.94072370414662,0.766714448740376,5.1485981372799,0,1,1
"NAU-Copycat",2026-01-24,0.343364390386911,1.85906761839826,0.690663229566864,4.84831369816887,0,1,1
"NAU-INFLAenza",2026-01-03,0.846199255721011,1.91617120351047,1.35100832198073,3.7287829686668,0,0,1
"NAU-INFLAenza",2026-01-10,0.787406639496293,3.50176944891417,1.05708309966525,5.63579736610442,0,0,1
"NAU-INFLAenza",2026-01-17,0.78979706240269,2.52865134338352,1.02590755413168,4.14935954761635,0,0,2
"NAU-INFLAenza",2026-01-24,0.7253675498232,1.72290826409978,0.980411829995413,3.05860034834983,0,0.333333333333333,3
"UMass-alloy",2026-01-03,0.609288296051675,1.37969949705924,1.24899365049615,3.44722247536938,0,1,1
"UMass-alloy",2026-01-10,0.567556647306419,1.78116541519143,1.01844859646104,3.88425984705319,0,1,2
"UMass-alloy",2026-01-17,0.522976304140464,1.61136308433546,0.939233003232968,3.65184863915531,0,1,3
"UMass-alloy",2026-01-24,0.474879541398305,1.16309844427663,0.86003708428956,2.80470108462016,0.25,1,4
"UT-GBQR",2026-01-03,0.185324728061928,0.41965755087801,0.288451689811185,0.796126663878869,0,1,1
"UT-GBQR",2026-01-10,0.362246479402808,1.11730145907977,0.556681881904481,2.08590926278133,0,0.5,2
"UT-GBQR",2026-01-17,0.386794829571791,1.20081372874069,0.514032297071861,1.98634942038856,0.333333333333333,0.333333333333333,3
"UT-GBQR",2026-01-24,0.379637665049209,0.912031116507841,0.490139249625668,1.56574618233676,0.25,0.5,4
"VTSanghani-PRIME",2026-01-03,0.538188612046011,1.21869821261086,0.857475278588737,2.36663176890491,1,1,1
"VTSanghani-PRIME",2026-01-10,0.364258066322056,1.18860565674096,0.776183176706905,3.00791440833936,1,1,2
"VTSanghani-PRIME",2026-01-17,0.337235221118278,1.05154298640002,0.68990923008929,2.65372316504399,0.666666666666667,1,3
"VTSanghani-PRIME",2026-01-24,0.360112547480398,0.897846924141076,0.649501345274717,2.09497692615583,0.75,1,4
"epiENGAGE-baseline",2026-01-03,1,2.26444444444444,1,2.76,0,0,1
"epiENGAGE-baseline",2026-01-10,1,3.15464283728173,1,3.825,0,0,2
"epiENGAGE-baseline",2026-01-17,1,3.08133502901049,1,3.9,0,0,3
"epiENGAGE-baseline",2026-01-24,1,2.44853828620287,1,3.27,0,0.5,4
"epiENGAGE-ensemble_mean",2026-01-03,0.435264922804306,0.98563323630575,0.973609456464225,2.68716209984126,0,1,1
"epiENGAGE-ensemble_mean",2026-01-10,0.503539556859269,1.56208681437379,0.882506511260355,3.34925185783119,0,0.5,2
"epiENGAGE-ensemble_mean",2026-01-17,0.531766564731196,1.62630595687374,0.833046727560563,3.22946377818326,0,0.333333333333333,3
"epiENGAGE-ensemble_mean",2026-01-24,0.508879326901884,1.23651391790276,0.76964872601099,2.49800645344022,0.25,0.5,4
"epiENGAGE-lop_norm",2026-01-03,0.473071079455188,1.07124317769964,0.996715754115725,2.7509354813594,0,1,1
"epiENGAGE-lop_norm",2026-01-10,0.453112670140913,1.41901775004482,0.931498132236753,3.53844988149064,0,1,2
"epiENGAGE-lop_norm",2026-01-17,0.450221663389887,1.39156246374117,0.89904268805996,3.49402581008356,0,1,3
"epiENGAGE-lop_norm",2026-01-24,0.442032174670827,1.08355327900033,0.837175538854795,2.72307962211614,0.25,1,4
"epiforecasts-dyngam",2026-01-03,0.808217990677134,1.83016473888889,1.07942028985507,2.9792,0,0,1
"epiforecasts-dyngam",2026-01-10,0.84794785017441,2.63333235277778,0.958991896459198,3.5922525,0,0,2
"epiforecasts-dyngam",2026-01-17,0.886154704334995,2.71608214861111,0.961681524623783,3.712495,0,0,3
"epiforecasts-dyngam",2026-01-24,0.832006511381595,2.02820597673611,0.916192038052442,2.9690225,0,0.25,4
